Operacion,Entrada,Salida_Fecha,Motivo,PnL_Total,Balance,Drawdown_Act,MFE_Pips,MAE_Pips,Parcial_Hit
Buy,2025-08-11 08:00:00,2025-08-11 10:00:00,Stop_Loss,-76.24,10473.12,10.01,4.8,11.0,False
Buy,2025-08-12 14:55:00,2025-08-12 16:45:00,Take_Profit,214.9,10682.9,8.21,62.5,4.2,True
Buy,2025-08-13 08:30:00,2025-08-13 11:15:00,Take_Profit,216.67,10891.73,6.41,40.7,1.4,True
Sell,2025-08-13 14:55:00,2025-08-20 07:00:00,Take_Profit,224.85,11112.6,4.52,86.6,2.8,True
Sell,2025-08-20 08:55:00,2025-08-20 10:20:00,BE_Matematico,-2.25,11101.19,4.61,16.2,7.1,True
Sell,2025-08-22 09:05:00,2025-08-22 09:15:00,Stop_Loss,-80.67,11008.49,5.41,0.2,6.6,False
Sell,2025-08-22 12:00:00,2025-08-22 15:00:00,Stop_Loss,-79.24,10920.42,6.17,6.0,9.0,False
Buy,2025-08-25 08:20:00,2025-08-25 10:55:00,BE_Matematico,-2.47,10907.85,6.27,18.0,8.0,True
Sell,2025-08-27 08:55:00,2025-08-27 11:30:00,Take_Profit,220.53,11119.71,4.45,43.3,3.7,True
Sell,2025-08-28 15:00:00,2025-08-28 15:40:00,Stop_Loss,-79.07,11035.63,5.18,8.4,16.2,False
Buy,2025-09-01 07:25:00,2025-09-02 07:00:00,BE_Matematico,-1.78,11026.56,5.25,30.7,13.0,True
Sell,2025-09-02 09:05:00,2025-09-02 10:55:00,Take_Profit,225.36,11245.57,3.37,54.9,8.8,True
Sell,2025-09-03 09:05:00,2025-09-03 09:30:00,Stop_Loss,-80.92,11155.7,4.14,3.2,10.8,False
Sell,2025-09-05 07:10:00,2025-09-05 10:55:00,BE_Matematico,-2.4,11143.52,4.25,6.9,7.3,True
Sell,2025-09-08 15:30:00,2025-09-08 15:55:00,Stop_Loss,-79.82,11056.25,5.0,1.5,11.9,False
Sell,2025-09-09 07:20:00,2025-09-09 08:05:00,Stop_Loss,-79.16,10969.81,5.74,0.4,9.0,False
Sell,2025-09-09 08:50:00,2025-09-10 07:00:00,Take_Profit,224.61,11188.5,3.86,71.0,1.3,True
Sell,2025-09-10 14:55:00,2025-09-10 15:30:00,BE_Matematico,-1.64,11180.15,3.93,13.1,21.8,True
Buy,2025-09-11 09:45:00,2025-09-11 12:45:00,Stop_Loss,-79.62,11094.95,4.67,5.5,13.3,False
Sell,2025-09-11 14:50:00,2025-09-11 15:30:00,BE_Matematico,-1.48,11087.43,4.73,29.2,29.5,True
Sell,2025-09-15 15:00:00,2025-09-16 07:00:00,Stop_Loss,-78.85,11003.47,5.45,6.0,17.2,False
Buy,2025-09-16 08:45:00,2025-09-16 10:50:00,Take_Profit,219.66,11211.38,3.67,27.4,0.9,True
Buy,2025-09-16 14:00:00,2025-09-16 15:30:00,BE_Matematico,-1.37,11204.36,3.73,13.7,18.8,True
Buy,2025-09-17 07:10:00,2025-09-17 10:00:00,BE_Matematico,-2.78,11190.04,3.85,7.3,7.5,True
